State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Cauliflower,Cauliflower,FAQ,30/09/2025,3000,5000,4000
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Ginger(Green),Other,FAQ,30/09/2025,2000,3500,2800
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),"Peas Wet",Other,FAQ,30/09/2025,5000,10000,8000
Gujarat,Amreli,Damnagar,Cabbage,Cabbage,FAQ,30/09/2025,1650,3050,2600
Gujarat,Bharuch,Jambusar,Cotton,Other,FAQ,30/09/2025,5800,6200,6000
Gujarat,"Chhota Udaipur",Bodeliu,Cotton,"Shanker 6 (B) 30mm FIne",FAQ,30/09/2025,6870,7001,6940
Gujarat,Rajkot,Dhoraji,Cotton,"H.B (Unginned)",Non-FAQ,30/09/2025,5805,7680,7055
Gujarat,Surendranagar,"Dasada Patadi","Guar Seed(Cluster Beans Seed)",Whole,FAQ,30/09/2025,3750,3850,3840
Gujarat,Vadodara(Baroda),Padra,"Bitter gourd",Other,FAQ,30/09/2025,1500,2250,1900
Gujarat,Vadodara(Baroda),Padra,"Cluster beans",Other,FAQ,30/09/2025,6000,7500,6750
Gujarat,Vadodara(Baroda),Padra,"Sponge gourd",Other,FAQ,30/09/2025,1750,2500,2150
Haryana,Gurgaon,Gurgaon,Onion,Other,FAQ,30/09/2025,1000,1400,1200
Haryana,Gurgaon,Gurgaon,Pomegranate,Other,Large,30/09/2025,5000,7000,6000
Haryana,Gurgaon,Gurgaon,Tomato,Other,FAQ,30/09/2025,1500,2500,2000
Haryana,Hissar,Uklana,"Bottle gourd","Bottle Gourd",FAQ,30/09/2025,1000,1200,1200
Haryana,Kurukshetra,Babain,Paddy(Dhan)(Common),"Paddy fine",FAQ,30/09/2025,2389,2389,2389
Haryana,Mahendragarh-Narnaul,Narnaul,"Bhindi(Ladies Finger)",Bhindi,FAQ,30/09/2025,2500,3000,3000
Haryana,Mahendragarh-Narnaul,Narnaul,"Bitter gourd","Bitter Gourd",FAQ,30/09/2025,3500,3500,3500
Haryana,Mahendragarh-Narnaul,Narnaul,Brinjal,Brinjal,FAQ,30/09/2025,1000,2000,1500
Haryana,Mahendragarh-Narnaul,Narnaul,Coriander(Leaves),Coriander,FAQ,30/09/2025,5000,5000,5000
Haryana,Mahendragarh-Narnaul,Narnaul,"Green Chilli","Green Chilly",FAQ,30/09/2025,2000,3000,2500
Haryana,Mahendragarh-Narnaul,Narnaul,Potato,Potato,FAQ,30/09/2025,1000,1300,1200
